Gene stable ID	Gene stable ID version	Human gene name	Human gene stable ID
ENSMUSG00000048280	ENSMUSG00000048280.18	ZNF85	ENSG00000105750
ENSMUSG00000048280	ENSMUSG00000048280.18	ZNF681	ENSG00000196172
ENSMUSG00000048280	ENSMUSG00000048280.18	ZNF736	ENSG00000234444
ENSMUSG00000048280	ENSMUSG00000048280.18	ZNF724	ENSG00000196081
ENSMUSG00000048280	ENSMUSG00000048280.18	ZNF695	ENSG00000197472
ENSMUSG00000048280	ENSMUSG00000048280.18	ZNF682	ENSG00000197124
ENSMUSG00000028461	ENSMUSG00000028461.12	CCDC107	ENSG00000159884
ENSMUSG00000017776	ENSMUSG00000017776.15	CRK	ENSG00000167193
ENSMUSG00000062061	ENSMUSG00000062061.3	OBP2B	ENSG00000171102
ENSMUSG00000062061	ENSMUSG00000062061.3	OBP2A	ENSG00000122136
ENSMUSG00000024576	ENSMUSG00000024576.14	CSNK1A1	ENSG00000113712
ENSMUSG00000029310	ENSMUSG00000029310.13	NUDT9	ENSG00000170502
ENSMUSG00000021103	ENSMUSG00000021103.12	MNAT1	ENSG00000020426
ENSMUSG00000024486	ENSMUSG00000024486.6	HBEGF	ENSG00000113070
ENSMUSG00000047221	ENSMUSG00000047221.5	FAM185A	ENSG00000222011
ENSMUSG00000039841	ENSMUSG00000039841.14	ZNF800	ENSG00000048405
ENSMUSG00000031583	ENSMUSG00000031583.13	WRN	ENSG00000165392
ENSMUSG00000030145	ENSMUSG00000030145.14	ZNF248	ENSG00000198105
ENSMUSG00000036916	ENSMUSG00000036916.13	ZNF280C	ENSG00000056277
ENSMUSG00000048652	ENSMUSG00000048652.12	SAMD13	ENSG00000203943
ENSMUSG00000025436	ENSMUSG00000025436.12	ATP23	ENSG00000166896
ENSMUSG00000031383	ENSMUSG00000031383.8	DUSP9	ENSG00000130829
ENSMUSG00000024287	ENSMUSG00000024287.8	THOC1	ENSG00000079134
ENSMUSG00000004937	ENSMUSG00000004937.6	SGTA	ENSG00000104969
ENSMUSG00000018379	ENSMUSG00000018379.17	SRSF1	ENSG00000136450
ENSMUSG00000018379	ENSMUSG00000018379.17	AC015813.2	ENSG00000266086
ENSMUSG00000032740	ENSMUSG00000032740.16	CCDC88A	ENSG00000115355
ENSMUSG00000030612	ENSMUSG00000030612.6	MRPL46	ENSG00000259494
ENSMUSG00000076862	ENSMUSG00000076862.5	TRAV29DV5	ENSG00000211810
ENSMUSG00000059316	ENSMUSG00000059316.2	SLC27A4	ENSG00000167114
ENSMUSG00000022607	ENSMUSG00000022607.18	PTK2	ENSG00000169398
ENSMUSG00000062078	ENSMUSG00000062078.15	QKI	ENSG00000112531
ENSMUSG00000073079	ENSMUSG00000073079.6	SRP54	ENSG00000100883
ENSMUSG00000076863	ENSMUSG00000076863.8	TRAV26-2	ENSG00000211812
ENSMUSG00000030611	ENSMUSG00000030611.10	MRPS11	ENSG00000181991
ENSMUSG00000076864	ENSMUSG00000076864.9	TRAV34	ENSG00000211813
ENSMUSG00000040274	ENSMUSG00000040274.11	CDK6	ENSG00000105810
ENSMUSG00000019975	ENSMUSG00000019975.12	IKBIP	ENSG00000166130
ENSMUSG00000076866	ENSMUSG00000076866.3	TRAV38-1	ENSG00000211816
ENSMUSG00000076866	ENSMUSG00000076866.3	TRAV38-2DV8	ENSG00000211817
ENSMUSG00000033510	ENSMUSG00000033510.14	OTUD7A	ENSG00000169918
ENSMUSG00000046321	ENSMUSG00000046321.8	HS3ST2	ENSG00000122254
ENSMUSG00000079487	ENSMUSG00000079487.11	MED12	ENSG00000184634
ENSMUSG00000055148	ENSMUSG00000055148.7	KLF2	ENSG00000127528
ENSMUSG00000027312	ENSMUSG00000027312.14	ATRN	ENSG00000088812
ENSMUSG00000039910	ENSMUSG00000039910.10	CITED2	ENSG00000164442
ENSMUSG00000045725	ENSMUSG00000045725.5	PRR15	ENSG00000176532
ENSMUSG00000039246	ENSMUSG00000039246.8	LYPLAL1	ENSG00000143353
ENSMUSG00000059834	ENSMUSG00000059834.12	SCLT1	ENSG00000151466
ENSMUSG00000030428	ENSMUSG00000030428.16	TTYH1	ENSG00000167614
ENSMUSG00000074254	ENSMUSG00000074254.4	CYP2A13	ENSG00000197838
ENSMUSG00000074254	ENSMUSG00000074254.4	CYP2A7	ENSG00000198077
ENSMUSG00000074254	ENSMUSG00000074254.4	CYP2A6	ENSG00000255974
ENSMUSG00000018476	ENSMUSG00000018476.7	KDM6B	ENSG00000132510
ENSMUSG00000058571	ENSMUSG00000058571.11	GPC6	ENSG00000183098
ENSMUSG00000026439	ENSMUSG00000026439.14	RBBP5	ENSG00000117222
ENSMUSG00000028745	ENSMUSG00000028745.18	CAPZB	ENSG00000077549
ENSMUSG00000041530	ENSMUSG00000041530.16	AGO1	ENSG00000092847
ENSMUSG00000055560	ENSMUSG00000055560.8	ZNF845	ENSG00000213799
ENSMUSG00000022229	ENSMUSG00000022229.3	ATP12A	ENSG00000075673
ENSMUSG00000086040	ENSMUSG00000086040.8	WIPF3	ENSG00000122574
ENSMUSG00000048264	ENSMUSG00000048264.16	DIP2C	ENSG00000151240
ENSMUSG00000024045	ENSMUSG00000024045.6	AKAP8	ENSG00000105127
ENSMUSG00000026116	ENSMUSG00000026116.11	TMEM131	ENSG00000075568
ENSMUSG00000000308	ENSMUSG00000000308.14	CKMT1A	ENSG00000223572
ENSMUSG00000000308	ENSMUSG00000000308.14	CKMT1B	ENSG00000237289
ENSMUSG00000039891	ENSMUSG00000039891.6	TXLNB	ENSG00000164440
ENSMUSG00000060701	ENSMUSG00000060701.1	FPR2	ENSG00000171049
ENSMUSG00000096916	ENSMUSG00000096916.7	ZNF780A	ENSG00000197782
ENSMUSG00000035325	ENSMUSG00000035325.16	SEC31A	ENSG00000138674
ENSMUSG00000008845	ENSMUSG00000008845.9	CD163	ENSG00000177575
ENSMUSG00000024471	ENSMUSG00000024471.12	MYOT	ENSG00000120729
ENSMUSG00000028048	ENSMUSG00000028048.11	GBA	ENSG00000177628
ENSMUSG00000037606	ENSMUSG00000037606.18	OSBPL5	ENSG00000021762
ENSMUSG00000047879	ENSMUSG00000047879.17	USP14	ENSG00000101557
ENSMUSG00000090840	ENSMUSG00000090840.2	TEX54	ENSG00000283268
ENSMUSG00000072623	ENSMUSG00000072623.6	ZNF25	ENSG00000175395
ENSMUSG00000037708	ENSMUSG00000037708.16	SPAG6	ENSG00000077327
ENSMUSG00000002731	ENSMUSG00000002731.6	PRKRA	ENSG00000180228
ENSMUSG00000036613	ENSMUSG00000036613.8	EIPR1	ENSG00000032389
ENSMUSG00000061947	ENSMUSG00000061947.10	SERPINA10	ENSG00000140093
ENSMUSG00000038602	ENSMUSG00000038602.7	SLC35F1	ENSG00000196376
ENSMUSG00000027722	ENSMUSG00000027722.14	SPATA5	ENSG00000145375
ENSMUSG00000033498	ENSMUSG00000033498.14	STRC	ENSG00000242866
ENSMUSG00000043445	ENSMUSG00000043445.7	PGP	ENSG00000184207
ENSMUSG00000075267	ENSMUSG00000075267.9	PJVK	ENSG00000204311
ENSMUSG00000026963	ENSMUSG00000026963.4	TMEM210	ENSG00000185863
ENSMUSG00000078346	ENSMUSG00000078346.3	AL121578.2	ENSG00000229674
ENSMUSG00000052942	ENSMUSG00000052942.13	GLIS3	ENSG00000107249
ENSMUSG00000052040	ENSMUSG00000052040.10	KLF13	ENSG00000169926
ENSMUSG00000044030	ENSMUSG00000044030.4	IRF2BP1	ENSG00000170604
ENSMUSG00000030409	ENSMUSG00000030409.16	DMPK	ENSG00000104936
ENSMUSG00000049184	ENSMUSG00000049184.6	PURG	ENSG00000172733
ENSMUSG00000026156	ENSMUSG00000026156.8	B3GAT2	ENSG00000112309
ENSMUSG00000040548	ENSMUSG00000040548.16	TEX2	ENSG00000136478
ENSMUSG00000026344	ENSMUSG00000026344.9	LYPD1	ENSG00000150551
ENSMUSG00000028100	ENSMUSG00000028100.11	NUDT17	ENSG00000186364
ENSMUSG00000070319	ENSMUSG00000070319.6	EIF3G	ENSG00000130811
ENSMUSG00000020849	ENSMUSG00000020849.13	YWHAE	ENSG00000108953
ENSMUSG00000106289	ENSMUSG00000106289.1	TRAV39	ENSG00000211818
ENSMUSG00000026155	ENSMUSG00000026155.13	SMAP1	ENSG00000112305
ENSMUSG00000026343	ENSMUSG00000026343.6	GPR39	ENSG00000183840
ENSMUSG00000001076	ENSMUSG00000001076.7	C1QL4	ENSG00000186897
ENSMUSG00000027317	ENSMUSG00000027317.8	PPP1R14D	ENSG00000166143
ENSMUSG00000041550	ENSMUSG00000041550.4	SERPINA5	ENSG00000188488
ENSMUSG00000037400	ENSMUSG00000037400.17	ATP11B	ENSG00000058063
ENSMUSG00000018398	ENSMUSG00000018398.18	SEPTIN8	ENSG00000164402
ENSMUSG00000022382	ENSMUSG00000022382.15	WNT7B	ENSG00000188064
ENSMUSG00000022129	ENSMUSG00000022129.4	DCT	ENSG00000080166
ENSMUSG00000040690	ENSMUSG00000040690.15	COL16A1	ENSG00000084636
ENSMUSG00000006276	ENSMUSG00000006276.10	EPS15L1	ENSG00000127527
ENSMUSG00000060181	ENSMUSG00000060181.6	SLC35E3	ENSG00000175782
ENSMUSG00000039543	ENSMUSG00000039543.16	CFAP70	ENSG00000156042
ENSMUSG00000020783	ENSMUSG00000020783.14	NCBP3	ENSG00000074356
ENSMUSG00000104876	ENSMUSG00000104876.1	TRDC	ENSG00000211829
ENSMUSG00000027380	ENSMUSG00000027380.10	ACOXL	ENSG00000153093
ENSMUSG00000076873	ENSMUSG00000076873.2	TRDV3	ENSG00000256590
ENSMUSG00000044164	ENSMUSG00000044164.2	RNF182	ENSG00000180537
ENSMUSG00000032050	ENSMUSG00000032050.18	RDX	ENSG00000137710
ENSMUSG00000026494	ENSMUSG00000026494.12	KIF26B	ENSG00000162849
ENSMUSG00000039105	ENSMUSG00000039105.6	ATP6V1G1	ENSG00000136888
ENSMUSG00000040197	ENSMUSG00000040197.4	CD209	ENSG00000090659
ENSMUSG00000043157	ENSMUSG00000043157.8	ARL11	ENSG00000152213
ENSMUSG00000074895	ENSMUSG00000074895.10	EIF4E1B	ENSG00000175766
ENSMUSG00000026959	ENSMUSG00000026959.13	GRIN1	ENSG00000176884
ENSMUSG00000031995	ENSMUSG00000031995.9	ST14	ENSG00000149418
ENSMUSG00000037355	ENSMUSG00000037355.14	UVSSA	ENSG00000163945
ENSMUSG00000039686	ENSMUSG00000039686.14	ZER1	ENSG00000160445
ENSMUSG00000037225	ENSMUSG00000037225.13	FGF2	ENSG00000138685
ENSMUSG00000021464	ENSMUSG00000021464.14	ROR2	ENSG00000169071
ENSMUSG00000041205	ENSMUSG00000041205.8	MAP6D1	ENSG00000180834
ENSMUSG00000027073	ENSMUSG00000027073.5	AP000781.2	ENSG00000254979
ENSMUSG00000027073	ENSMUSG00000027073.5	PRG2	ENSG00000186652
ENSMUSG00000078429	ENSMUSG00000078429.9	CTDSP2	ENSG00000175215
ENSMUSG00000041623	ENSMUSG00000041623.17	C17orf80	ENSG00000141219
ENSMUSG00000031399	ENSMUSG00000031399.15	FAM3A	ENSG00000071889
ENSMUSG00000022476	ENSMUSG00000022476.8	POLR3H	ENSG00000100413
ENSMUSG00000032252	ENSMUSG00000032252.14	GLCE	ENSG00000138604
ENSMUSG00000021253	ENSMUSG00000021253.7	TGFB3	ENSG00000119699
ENSMUSG00000027072	ENSMUSG00000027072.13	PRG3	ENSG00000156575
ENSMUSG00000050840	ENSMUSG00000050840.8	CDH20	ENSG00000101542
ENSMUSG00000038009	ENSMUSG00000038009.7	DNAJC22	ENSG00000178401
ENSMUSG00000021345	ENSMUSG00000021345.16	PRL	ENSG00000172179
ENSMUSG00000066516	ENSMUSG00000066516.5	KLK1	ENSG00000167748
ENSMUSG00000051444	ENSMUSG00000051444.9	BBS12	ENSG00000181004
ENSMUSG00000050846	ENSMUSG00000050846.9	ZNF623	ENSG00000183309
ENSMUSG00000037149	ENSMUSG00000037149.10	DDX1	ENSG00000079785
ENSMUSG00000046846	ENSMUSG00000046846.4	SPESP1	ENSG00000258484
ENSMUSG00000009628	ENSMUSG00000009628.14	TEX15	ENSG00000133863
ENSMUSG00000067276	ENSMUSG00000067276.5	CAPN6	ENSG00000077274
ENSMUSG00000034387	ENSMUSG00000034387.13	SSUH2	ENSG00000125046
ENSMUSG00000050174	ENSMUSG00000050174.15	NUDT6	ENSG00000170917
ENSMUSG00000020930	ENSMUSG00000020930.9	CCDC103	ENSG00000167131
ENSMUSG00000026946	ENSMUSG00000026946.9	NMI	ENSG00000123609
ENSMUSG00000050132	ENSMUSG00000050132.13	SARM1	ENSG00000004139
ENSMUSG00000024534	ENSMUSG00000024534.15	SNCAIP	ENSG00000064692
ENSMUSG00000022477	ENSMUSG00000022477.13	ACO2	ENSG00000100412
ENSMUSG00000021176	ENSMUSG00000021176.6	EFCAB11	ENSG00000140025
ENSMUSG00000024472	ENSMUSG00000024472.9	DCP2	ENSG00000172795
ENSMUSG00000075510	ENSMUSG00000075510.3	FAM187A	ENSG00000214447
ENSMUSG00000028284	ENSMUSG00000028284.13	MAP3K7	ENSG00000135341
ENSMUSG00000050276	ENSMUSG00000050276.7	MRGPRG	ENSG00000182170
ENSMUSG00000068082	ENSMUSG00000068082.12	GRXCR1	ENSG00000215203
ENSMUSG00000036678	ENSMUSG00000036678.8	AAAS	ENSG00000094914
ENSMUSG00000041852	ENSMUSG00000041852.15	TCF20	ENSG00000100207
ENSMUSG00000027907	ENSMUSG00000027907.4	S100A11	ENSG00000163191
ENSMUSG00000047702	ENSMUSG00000047702.2	OR2Y1	ENSG00000174339
ENSMUSG00000000320	ENSMUSG00000000320.10	ALOX12	ENSG00000108839
ENSMUSG00000034303	ENSMUSG00000034303.7	CCDC15	ENSG00000149548
ENSMUSG00000020932	ENSMUSG00000020932.14	GFAP	ENSG00000131095
ENSMUSG00000006219	ENSMUSG00000006219.12	FBLIM1	ENSG00000162458
ENSMUSG00000019818	ENSMUSG00000019818.15	CD164	ENSG00000135535
ENSMUSG00000047414	ENSMUSG00000047414.6	FLRT2	ENSG00000185070
ENSMUSG00000032249	ENSMUSG00000032249.14	ANP32A	ENSG00000140350
ENSMUSG00000032249	ENSMUSG00000032249.14	ANP32D	ENSG00000139223
ENSMUSG00000021392	ENSMUSG00000021392.8	NOL8	ENSG00000198000
ENSMUSG00000024142	ENSMUSG00000024142.15	MLST8	ENSG00000167965
ENSMUSG00000074754	ENSMUSG00000074754.4	SMIM26	ENSG00000232388
ENSMUSG00000035293	ENSMUSG00000035293.13	G2E3	ENSG00000092140
ENSMUSG00000040212	ENSMUSG00000040212.12	EMP3	ENSG00000142227
ENSMUSG00000074006	ENSMUSG00000074006.3	OMP	ENSG00000254550
ENSMUSG00000035547	ENSMUSG00000035547.14	CAPN5	ENSG00000149260
ENSMUSG00000027737	ENSMUSG00000027737.10	SLC7A11	ENSG00000151012
ENSMUSG00000030281	ENSMUSG00000030281.16	IL17RC	ENSG00000163702
ENSMUSG00000041272	ENSMUSG00000041272.11	TOX	ENSG00000198846
ENSMUSG00000063386	ENSMUSG00000063386.2	OR2Y1	ENSG00000174339
ENSMUSG00000031495	ENSMUSG00000031495.8	CD209	ENSG00000090659
ENSMUSG00000027315	ENSMUSG00000027315.13	SPINT1	ENSG00000166145
ENSMUSG00000045521	ENSMUSG00000045521.7	TSSK2	ENSG00000206203
ENSMUSG00000029707	ENSMUSG00000029707.6	FSCN3	ENSG00000106328
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF2	ENSG00000120952
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF5	ENSG00000270601
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF7	ENSG00000204510
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF26	ENSG00000280267
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF17	ENSG00000204479
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF20	ENSG00000204478
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF6	ENSG00000232423
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF12	ENSG00000116726
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF4	ENSG00000243073
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF1	ENSG00000116721
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF14	ENSG00000204481
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF10	ENSG00000187545
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF15	ENSG00000204501
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF18	ENSG00000279804
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF25	ENSG00000229571
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF13	ENSG00000279169
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF11	ENSG00000239810
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF27	ENSG00000274764
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF33	ENSG00000237700
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF8	ENSG00000182330
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF19	ENSG00000204480
ENSMUSG00000096066	ENSMUSG00000096066.4	PRAMEF9	ENSG00000204505
ENSMUSG00000031302	ENSMUSG00000031302.16	NLGN3	ENSG00000196338
ENSMUSG00000037533	ENSMUSG00000037533.20	AC008695.1	ENSG00000273217
ENSMUSG00000037533	ENSMUSG00000037533.20	RAPGEF6	ENSG00000158987
ENSMUSG00000045466	ENSMUSG00000045466.18	ZNF587B	ENSG00000269343
ENSMUSG00000045466	ENSMUSG00000045466.18	ZNF552	ENSG00000178935
ENSMUSG00000020440	ENSMUSG00000020440.13	ARF5	ENSG00000004059
ENSMUSG00000039883	ENSMUSG00000039883.5	LRRC17	ENSG00000128606
ENSMUSG00000062694	ENSMUSG00000062694.7	CAV3	ENSG00000182533
ENSMUSG00000035198	ENSMUSG00000035198.9	TUBG1	ENSG00000131462
ENSMUSG00000049112	ENSMUSG00000049112.9	OXTR	ENSG00000180914
ENSMUSG00000048520	ENSMUSG00000048520.16	FBXL13	ENSG00000161040
ENSMUSG00000041959	ENSMUSG00000041959.14	S100A10	ENSG00000197747
ENSMUSG00000029708	ENSMUSG00000029708.9	GCC1	ENSG00000179562
ENSMUSG00000039239	ENSMUSG00000039239.14	TGFB2	ENSG00000092969
ENSMUSG00000005237	ENSMUSG00000005237.14	DNAH2	ENSG00000183914
ENSMUSG00000041729	ENSMUSG00000041729.15	CORO2B	ENSG00000103647
ENSMUSG00000042133	ENSMUSG00000042133.16	PPIG	ENSG00000138398
ENSMUSG00000028277	ENSMUSG00000028277.13	UBE2J1	ENSG00000198833
ENSMUSG00000095595	ENSMUSG00000095595.2	FAM177A1	ENSG00000151327
ENSMUSG00000026664	ENSMUSG00000026664.7	PHYH	ENSG00000107537
ENSMUSG00000026896	ENSMUSG00000026896.14	IFIH1	ENSG00000115267
ENSMUSG00000048965	ENSMUSG00000048965.9	MRGPRE	ENSG00000184350
ENSMUSG00000047496	ENSMUSG00000047496.6	RNF152	ENSG00000176641
ENSMUSG00000018900	ENSMUSG00000018900.7	SLC22A5	ENSG00000197375
ENSMUSG00000028560	ENSMUSG00000028560.11	USP1	ENSG00000162607
ENSMUSG00000027381	ENSMUSG00000027381.16	BCL2L11	ENSG00000153094
ENSMUSG00000028358	ENSMUSG00000028358.15	ZNF618	ENSG00000157657
ENSMUSG00000026592	ENSMUSG00000026592.13	TEX35	ENSG00000240021
ENSMUSG00000032667	ENSMUSG00000032667.17	PON2	ENSG00000105854
ENSMUSG00000038156	ENSMUSG00000038156.16	SPON1	ENSG00000262655
ENSMUSG00000056536	ENSMUSG00000056536.14	PIGN	ENSG00000197563
ENSMUSG00000025128	ENSMUSG00000025128.7	BHLHE22	ENSG00000180828
ENSMUSG00000038705	ENSMUSG00000038705.13	GMEB2	ENSG00000101216
ENSMUSG00000039109	ENSMUSG00000039109.16	F13A1	ENSG00000124491
ENSMUSG00000038037	ENSMUSG00000038037.5	SOCS1	ENSG00000185338
ENSMUSG00000059460	ENSMUSG00000059460.7	OR10AD1	ENSG00000172640
ENSMUSG00000043050	ENSMUSG00000043050.8	TNP2	ENSG00000178279
ENSMUSG00000030093	ENSMUSG00000030093.7	WNT7A	ENSG00000154764
ENSMUSG00000050058	ENSMUSG00000050058.6	PRM3	ENSG00000178257
ENSMUSG00000026668	ENSMUSG00000026668.10	UCMA	ENSG00000165623
ENSMUSG00000000305	ENSMUSG00000000305.12	CDH4	ENSG00000179242
ENSMUSG00000055782	ENSMUSG00000055782.9	ABCD2	ENSG00000173208
ENSMUSG00000000365	ENSMUSG00000000365.9	RNF17	ENSG00000132972
ENSMUSG00000045917	ENSMUSG00000045917.17	TMEM268	ENSG00000157693
ENSMUSG00000038611	ENSMUSG00000038611.17	PHRF1	ENSG00000070047
ENSMUSG00000003363	ENSMUSG00000003363.15	PLD3	ENSG00000105223
ENSMUSG00000038784	ENSMUSG00000038784.13	CNOT4	ENSG00000080802
ENSMUSG00000029064	ENSMUSG00000029064.15	GNB1	ENSG00000078369
ENSMUSG00000034807	ENSMUSG00000034807.9	COLGALT1	ENSG00000130309
ENSMUSG00000035829	ENSMUSG00000035829.13	PPP1R26	ENSG00000196422
ENSMUSG00000032243	ENSMUSG00000032243.8	ITGA11	ENSG00000137809
ENSMUSG00000026737	ENSMUSG00000026737.12	PIP4K2A	ENSG00000150867
ENSMUSG00000038015	ENSMUSG00000038015.6	PRM2	ENSG00000122304
ENSMUSG00000025156	ENSMUSG00000025156.17	GPS1	ENSG00000169727
ENSMUSG00000026705	ENSMUSG00000026705.16	KLHL20	ENSG00000076321
ENSMUSG00000034171	ENSMUSG00000034171.13	FAAH	ENSG00000117480
ENSMUSG00000034442	ENSMUSG00000034442.11	TRMT5	ENSG00000126814
ENSMUSG00000060177	ENSMUSG00000060177.6	KLK1	ENSG00000167748
ENSMUSG00000037847	ENSMUSG00000037847.14	NMRK1	ENSG00000106733
ENSMUSG00000017344	ENSMUSG00000017344.4	AC002094.3	ENSG00000273171
ENSMUSG00000017344	ENSMUSG00000017344.4	VTN	ENSG00000109072
ENSMUSG00000009596	ENSMUSG00000009596.9	TAF7L	ENSG00000102387
ENSMUSG00000038718	ENSMUSG00000038718.15	PBX3	ENSG00000167081
ENSMUSG00000031907	ENSMUSG00000031907.9	ZFP90	ENSG00000184939
ENSMUSG00000037653	ENSMUSG00000037653.7	KCTD8	ENSG00000183783
ENSMUSG00000062564	ENSMUSG00000062564.12	TEX28	ENSG00000278057
ENSMUSG00000078932	ENSMUSG00000078932.8	C12orf40	ENSG00000180116
ENSMUSG00000040035	ENSMUSG00000040035.14	DISP2	ENSG00000140323
ENSMUSG00000059734	ENSMUSG00000059734.7	NDUFS8	ENSG00000110717
ENSMUSG00000030603	ENSMUSG00000030603.16	PSMC4	ENSG00000013275
ENSMUSG00000020364	ENSMUSG00000020364.14	ZNF354A	ENSG00000169131
ENSMUSG00000020364	ENSMUSG00000020364.14	AC113348.2	ENSG00000285978
ENSMUSG00000041417	ENSMUSG00000041417.15	PIK3R1	ENSG00000145675
ENSMUSG00000037991	ENSMUSG00000037991.9	RMI2	ENSG00000175643
ENSMUSG00000063317	ENSMUSG00000063317.7	USP31	ENSG00000103404
ENSMUSG00000043140	ENSMUSG00000043140.10	TMEM186	ENSG00000184857
ENSMUSG00000034799	ENSMUSG00000034799.16	UNC13A	ENSG00000130477
ENSMUSG00000022711	ENSMUSG00000022711.16	PMM2	ENSG00000140650
ENSMUSG00000030284	ENSMUSG00000030284.11	CRELD1	ENSG00000163703
ENSMUSG00000035506	ENSMUSG00000035506.16	SLC12A8	ENSG00000221955
ENSMUSG00000022614	ENSMUSG00000022614.8	LMF2	ENSG00000100258
ENSMUSG00000032244	ENSMUSG00000032244.9	FEM1B	ENSG00000169018
